id,character,bucket
2075,涂,一级字表
2076,浴,一级字表
2077,浮,一级字表
2078,涣,一级字表
2079,涤,一级字表
2080,流,一级字表
2081,润,一级字表
2082,涧,一级字表
2083,涕,一级字表
2084,浪,一级字表
2085,浸,一级字表
2086,涨,一级字表
2087,烫,一级字表
2088,涩,一级字表
2089,涌,一级字表
2090,悖,一级字表
2091,悟,一级字表
2092,悄,一级字表
2093,悍,一级字表
2094,悔,一级字表
2095,悯,一级字表
2096,悦,一级字表
2097,害,一级字表
2098,宽,一级字表
2099,家,一级字表
2100,宵,一级字表
2101,宴,一级字表
2102,宾,一级字表
2103,窍,一级字表
2104,窄,一级字表
2295,逻,一级字表
2296,崔,一级字表
2297,帷,一级字表
2298,崩,一级字表
2299,崇,一级字表
2300,崛,一级字表
2301,婴,一级字表
2302,圈,一级字表
2303,铐,一级字表
2304,铛,一级字表
2305,铝,一级字表
2306,铜,一级字表
2307,铭,一级字表
2308,铲,一级字表
2309,银,一级字表
2310,矫,一级字表
2311,甜,一级字表
2312,秸,一级字表
2313,梨,一级字表
2314,犁,一级字表
2315,秽,一级字表
2316,移,一级字表
2317,笨,一级字表
2318,笼,一级字表
2319,笛,一级字表
2320,笙,一级字表
2321,符,一级字表
2322,第,一级字表
2323,敏,一级字表
2324,做,一级字表
2325,袋,一级字表
2326,悠,一级字表
2327,偿,一级字表
2328,偶,一级字表
2329,偎,一级字表
2330,偷,一级字表
2331,您,一级字表
2332,售,一级字表
2523,喜,一级字表
2524,彭,一级字表
2525,揣,一级字表
2526,插,一级字表
2527,揪,一级字表
2528,搜,一级字表
2529,煮,一级字表
2530,援,一级字表
2531,搀,一级字表
2532,裁,一级字表
2533,搁,一级字表
2534,搓,一级字表
2535,搂,一级字表
2536,搅,一级字表
2537,壹,一级字表
2538,握,一级字表
2539,搔,一级字表
2540,揉,一级字表
2541,斯,一级字表
2542,期,一级字表
2543,欺,一级字表
2544,联,一级字表
2545,葫,一级字表
2546,散,一级字表
2547,惹,一级字表
2548,葬,一级字表
2549,募,一级字表
2550,葛,一级字表
2551,董,一级字表
2552,葡,一级字表
2553,敬,一级字表
2554,葱,一级字表
2555,蒋,一级字表
2556,蒂,一级字表
2557,落,一级字表
2558,韩,一级字表
2559,朝,一级字表
2560,辜,一级字表
2751,湖,一级字表
2752,湘,一级字表
2753,渣,一级字表
2754,渤,一级字表
2755,渺,一级字表
2756,湿,一级字表
2757,温,一级字表
2758,渴,一级字表
2759,溃,一级字表
2760,溅,一级字表
2761,滑,一级字表
2762,湃,一级字表
2763,渝,一级字表
2764,湾,一级字表
2765,渡,一级字表
2766,游,一级字表
2767,滋,一级字表
2768,渲,一级字表
2769,溉,一级字表
2770,愤,一级字表
2771,慌,一级字表
2772,惰,一级字表
2773,愕,一级字表
2774,愣,一级字表
2775,惶,一级字表
2776,愧,一级字表
2777,愉,一级字表
2778,慨,一级字表
2779,割,一级字表
2780,寒,一级字表
2781,富,一级字表
2782,寓,一级字表
2783,窜,一级字表
2784,窝,一级字表
2785,窖,一级字表
2786,窗,一级字表
2787,窘,一级字表
2788,遍,一级字表
2979,颖,一级字表
2980,触,一级字表
2981,解,一级字表
2982,煞,一级字表
2983,雏,一级字表
2984,馍,一级字表
2985,馏,一级字表
2986,酱,一级字表
2987,禀,一级字表
2988,痹,一级字表
2989,廓,一级字表
2990,痴,一级字表
2991,痰,一级字表
2992,廉,一级字表
2993,靖,一级字表
2994,新,一级字表
2995,韵,一级字表
2996,意,一级字表
2997,誊,一级字表
2998,粮,一级字表
2999,数,一级字表
3000,煎,一级字表
3001,塑,一级字表
3002,慈,一级字表
3003,煤,一级字表
3004,煌,一级字表
3005,满,一级字表
3006,漠,一级字表
3007,滇,一级字表
3008,源,一级字表
3009,滤,一级字表
3010,滥,一级字表
3011,滔,一级字表
3012,溪,一级字表
3013,溜,一级字表
3014,漓,一级字表
3015,滚,一级字表
3016,溢,一级字表
3207,鞋,一级字表
3208,鞍,一级字表
3209,蕉,一级字表
3210,蕊,一级字表
3211,蔬,一级字表
3212,蕴,一级字表
3213,横,一级字表
3214,槽,一级字表
3215,樱,一级字表
3216,橡,一级字表
3217,樟,一级字表
3218,橄,一级字表
3219,敷,一级字表
3220,豌,一级字表
3221,飘,一级字表
3222,醋,一级字表
3223,醇,一级字表
3224,醉,一级字表
3225,磕,一级字表
3226,磊,一级字表
3227,磅,一级字表
3228,碾,一级字表
3229,震,一级字表
3230,霄,一级字表
3231,霉,一级字表
3232,瞒,一级字表
3233,题,一级字表
3234,暴,一级字表
3235,瞎,一级字表
3236,嘻,一级字表
3237,嘶,一级字表
3238,嘲,一级字表
3239,嘹,一级字表
3240,影,一级字表
3241,踢,一级字表
3242,踏,一级字表
3243,踩,一级字表
3244,踪,一级字表
3415,穗,一级字表
3416,魏,一级字表
3417,簧,一级字表
3418,簇,一级字表
3419,繁,一级字表
3420,徽,一级字表
3421,爵,一级字表
3422,朦,一级字表
3423,臊,一级字表
3424,鳄,一级字表
3425,癌,一级字表
3426,辫,一级字表
3427,赢,一级字表
3428,糟,一级字表
3429,糠,一级字表
3430,燥,一级字表
3431,懦,一级字表
3432,豁,一级字表
0069,飞,一级字表
0070,习,一级字表
0071,叉,一级字表
0072,马,一级字表
0073,乡,一级字表
